unique_id,country,district,site,year,season,plant_date,harvest_date,field_latitude,field_longitude,plot_acres,hybrid,flood,drought,pest_disease,mlnd,msv,intercrop,dap_kg_pa,urea_kg_pa,weed,yield_kg_pa,yield_kg_ph,district_season_median_yield,stress_threshold,stress_label,stress_severity
8c01dd3a,Uganda,kamuli,buganza,2020,lr,15-Mar-20,,0.86251,33.18538,0.5179693699,1.0,0.0,1.0,0.0,,,0.0,12.066351,,,820.59302,2027.7263,710.993255,497.6952785,0,None
74eae24d,Uganda,iganga,kalalu,2020,lr,28-Mar-20,,0.7004283333,33.60658167,1.03593874,1.0,0.0,1.0,1.0,,,0.0,0.0,0.0,,314.74799,777.758,505.845,354.0915,1,Mild
967282de,Uganda,iganga,kalalu,2020,lr,4-Apr-20,,0.7083716667,33.61091167,0.2695991397,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,134.892,333.32486,505.845,354.0915,1,Extreme
d7b2f5c8,Uganda,iganga,kalalu,2020,lr,5-Mar-20,,0.7086066667,33.61092,0.5179693699,1.0,0.0,1.0,0.0,,,0.0,12.066351,,,269.784,666.64972,505.845,354.0915,1,Mild
9aa1d12b,Uganda,kamuli,bulange,2020,lr,18-Mar-20,,0.9157483333,33.25372,0.0990261361,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,668.83948,1652.7358,710.993255,497.6952785,1,None
7099c20a,Uganda,kamuli,bulange,2020,lr,12-Mar-20,,0.915715,33.253715,0.2589846849,1.0,0.0,0.0,0.0,,,0.0,9.65308,28.186995,,921.76196,2277.72,710.993255,497.6952785,0,None
7161d95c,Uganda,jinja,butamira,2020,lr,1-Apr-20,,0.6552883333,33.18820333,0.4208610952,1.0,0.0,1.0,1.0,,,0.0,7.1282425,9.504324,,224.82001,555.5415,814.97247,570.480729,1,Extreme
d9b0e48b,Uganda,jinja,butamira,2020,lr,1-Apr-20,,0.6550416667,33.18717333,0.3091638982,1.0,0.0,1.0,1.0,,,0.0,0.0,0.0,,1157.823,2861.0386,814.97247,570.480729,0,None
1a5d03e7,Uganda,kamuli,bwiiza,2020,lr,24-Mar-20,,0.949405,32.984375,1.078396559,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,2090.8259,5166.5356,710.993255,497.6952785,0,None
7fb17356,Uganda,kamuli,bwiiza,2020,lr,15-Mar-20,,0.9491583333,32.98457333,1.03593874,1.0,0.0,1.0,0.0,,,0.0,11.583696,11.583696,,1573.74,3888.7903,710.993255,497.6952785,0,None
42f1acc6,Uganda,kamuli,bulange,2020,lr,15-Mar-20,,0.8952216667,33.269165,0.5179693699,1.0,0.0,1.0,1.0,,,0.0,12.066351,20.754124,,826.2135,2041.6149,710.993255,497.6952785,0,None
