variable,category,description,Kenya 2020 LR,Comment,Kenya 2019 LR,Comment,Kenya 2018 LR,Comment,Kenya 2017 LR,Comment,Kenya 2016 LR,Comment,Tanzania 2020 LR,Comment,Tanzania 2019 LR,Comment,Tanzania 2018 LR,Comment,Tanzania 2017 LR,Comment,Tanzania 2016 LR,Comment,Rwanda 2020 B,Comment,Rwanda 2020 A,Comment,Rwanda 2019 B,Comment,Rwanda 2019 A,Comment,Rwanda 2018 B,Comment,Rwanda 2018 A,Comment,Rwanda 2017 B,Comment,Rwanda 2017 A,Comment,Rwanda 2016 B,Comment,Rwanda 2016 A,Comment,Uganda 2020 LR,Comment,Burundi 2015 A,Comment,Burundi 2015 B,Comment,Burundi 2016 A,Comment,Burundi 2016 B,Comment,Burundi 2017 A,Comment,Burundi 2017 B,Comment,Burundi 2019 A,Comment,Burundi 2019 B,Comment,Burundi 2020 A,Comment,Burundi 2020 B,Comment,Malawi 2020 LR,Comment,Zambia 2020 LR,Comments,Zambia 2019 LR,Comment,Zambia 2018 LR,Comment
age,respondent age,numeric,x,,,,,,,,,,x,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,x,,x,,,,,,x,,x,,x,,x,,x,,x,,x,,X,,x,,x,,x,
anthracnose,field characteristics,Farmer reported presence of anthracnose that season,,,,,,,,,,,,not collected in TZ,,,,,,,,,x,,x,,x,,x,,,,,,,,,,,,,,,not collected in UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aphids,field characteristics,farmer reported presence of aphids that season,x,,x,,x,,,,,,,not collected in TZ,,,,,,,,,,Not collected in Rwanda,,Not collected in Rwanda,,,,,,,,,,,,,,,,,,not collected in UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basal_method,practice,"self reported method for applying basal fertiliezr (in hole, broadcast or other)",,,x,,x,,x,,x,,x,,x,,,,,,,,,Not collected in Rwanda,,Not collected in Rwanda,,,,,,,,,,,,,,,,,,not collected in 2020,,,,,,,,,x,,x,,x,,x,,x,,x,,,,,,,,x,
bikes,demographics,# of bikes owned,x,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,,,,,,,,,,,,,x,,x,,x,,x,,,,,,x,,x,,x,,x,,x,,x,,,,X,,x,,x,,x,
bikes_binary,demographics,"1= farmer owns a bike, 0 = not",x,,,,x,,,,,,,,,,,,,,,,,We didn't create this variable,,,,,,,,,,,,,,,,,,,x,,x,,,,,,x,,x,,x,,x,,x,,x,,,,X,,x,,x,,x,
blight,field characteristics,Farmer reported presence of blight that season,x,,,,,,,,,,,not collected in TZ,,,,,,,,,x,,x,,x,,x,,,,,,,,,,,,,,,not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
can_kg,inputs,"self reported kg of CAN (unless othewise noted this is the average kg applied to field type, e.g. maize program land, client non-program land, non-client land, on average, which includes the field harvested but also potentially other fields)",x,,x,,x,,x,,x,,X,,,Not collected this year,x,kgs on field harvested,x,kgs on field harvested,x,"average kg applied to field type, e.g. maize program land, on average, which includes the field harvested but also potentially other fields",,Not collected in Rwanda,,Not collected in Rwanda,,,,,,,,,,,,,,,,,,not collected (not common among farmers),,,,,,,,,,,,,,,,,,,,,,,,,,,,
can_kg_pa,inputs,"reported kg of CAN (unless othewise noted this is the average kg applied to field type, e.g. maize program land, client non-program land, non-client land, on average, which includes the field harvested but also potentially other fields) / self reported field type acres",x,,x,,x,,x,,x,,X,,,Not collected this year,x,pertains to harvested field,x,pertains to harvested field,x,pertains to field type,,Not collected in Rwanda,,Not collected in Rwanda,,,,,,,,,,,,,,,,,,not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
can_kg_ph,inputs,"reported kg of CAN (unless othewise noted this is the average kg applied to field type, e.g. maize program land, client non-program land, non-client land, on average, which includes the field harvested but also potentially other fields) / self reported field type hectares",,Only collect acreage data,x,,x,,x,,x,,X,,,Not collected this year,x,pertains to harvested field,x,pertains to harvested field,x,pertains to field type,,Not collected in Rwanda,,Not collected in Rwanda,,,,,,,,,,,,,,,,,,data not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken_binary,demographics,"1= farmer owns any chickens, 0 = not",x,,,,x,,,,,,x,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,x,,x,,x,,x,,x,,,,X,,x,,x,,x,
chickens,demographics,# of chickens owned,x,,x,,,,x,,,,X,,x,,x,,x,,x,,x,,x,,,,,,,,,,,,,,x,,,,x,,x,,,,,,,,x,,x,,x,,x,,x,,,,X,,x,,x,,x,
chicks,demographics,# of chicks (baby chickens) owned,,,x,,x,,,,,,X,,x,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,data not collected,,,,,,,,,,,,,,,,,,,,,X,,x,,x,,,
